ObjectName,RA,DEC
NGC1275,49.95067,41.5117
2MASXiJ0319419+412957,49.92479,41.4995
2MASXJ03195122+4132072,49.9635,41.53536
2MASXiJ0319555+413123,49.98137,41.52311
ABELL0426:[CGW2003]45,49.92375,41.48806
SA0426-030,49.93125,41.48136
2MASXJ03195247+4132592,49.96867,41.54981
2MASXJ03193731+4129090,49.90537,41.48594
NGC1274,49.91896,41.54864
VZw338,50.01137,41.50957
2MASXJ03200271+4130333,50.01138,41.50931
ABELL0426:[PC2008]54,49.9525,41.55794
NGC1279,49.99612,41.47953
NGC1278,49.97563,41.56339
2MASXJ03194386+4127251,49.93267,41.45697
VZw339,50.00362,41.55375
RSCG21,49.90266,41.56081
2MASSJ03193364+4133128,49.8902,41.55355
NGC1277,49.96454,41.57353
2MASXJ03194466+4126472,49.93604,41.44644
NGC1273,49.86142,41.54053
2MASSJ03192305+4129282,49.84609,41.49117
CGCG540-101,49.89263,41.58056
2MASXJ03194782+4135472,49.94917,41.59634
NGC1272,49.83871,41.49064
GALEXMSCJ031926.90+412716.9,49.86292,41.45447
ABELL0426:[CGW2003]39,49.88083,41.44131
ABELL0426:[CGW2003]31,49.83833,41.47847
2MASXJ03194292+4136031,49.92875,41.60078
SSTSL2J031946.08+412451.5,49.94208,41.41422
2MASXJ03195290+4136312,49.9705,41.60869
ABELL0426:[CGW2003]21,49.80292,41.51047
WBL097,49.80207,41.51451
ABELL0426:[CGW2003]29,49.82833,41.44233
2MASXJ03192236+4125461,49.84325,41.42942
ABELL0426:[CGW2003]20,49.79333,41.49361
BGP073,50.11244,41.48303
2MASXJ03193743+4137580,49.90608,41.63283
2MASXJ03202856+4129195,50.11917,41.48881
2MASXJ03202936+4130525,50.12233,41.51458
NGC1281,50.02546,41.63003
2MASXJ03203087+4130325,50.12871,41.509
2MASXJ03193765+4122490,49.90679,41.38019
UGC02665,49.86404,41.63531
NGC1283,50.06467,41.39867
NSA133302,49.76987,41.46925
2MASXJ03190242+4133011,49.76008,41.55028
ABELL0426:[CGW2003]16,49.775,41.43853
ABELL0426:[CGW2003]10,49.75167,41.484
2MASXJ03203300+4134265,50.13746,41.57408
NGC1270,49.74229,41.47001
NGC1282,50.0505,41.367
2MASXJ03191772+4138391,49.82392,41.64428
MCG+07-07-070,50.09175,41.64072
[TSK2008]0344,50.05942,41.36307
2MASXJ03202094+4122254,50.08733,41.37372
2MASXJ03201009+4121043,50.04217,41.35117
2MASXJ03190207+4137121,49.75879,41.61997
2MASXJ03194021+4119450,49.91754,41.32919
2MASXJ03201737+4120562,50.07246,41.34892
NGC1271,49.797,41.35325
2MASXJ03184479+4130411,49.68667,41.51142
NGC1268,49.68817,41.48869
LCSBS0532P,49.74154,41.63506
2MASXJ03204218+4124145,50.17575,41.404
NGC1267,49.68717,41.46772
2MASXJ03184738+4125421,49.69746,41.42839
2MASXJ03195296+4118082,49.97071,41.30233
2MASXJ03205074+4136015,50.21133,41.60042
2MASXJ03185112+4123321,49.71296,41.39228
2MASXJ03205776+4130229,50.24082,41.50638
2MASXJ03205658+4126205,50.23575,41.43892
CGCG540-089,49.64983,41.47722
2MASXJ03210041+4133449,50.25174,41.56247
2MASXJ03194454+4116411,49.93563,41.27808
2MASXJ03204928+4122145,50.20542,41.37069
2MASXJ03201328+4117122,50.05533,41.28681
2MASXJ03210424+4133199,50.26767,41.55558
2MASXJ03210142+4126039,50.25583,41.43444
2MASXJ03194676+4116132,49.94488,41.27036
2MASXJ03185824+4142091,49.74275,41.70247
2MASXJ03210223+4124339,50.25929,41.40944
2MFGC02743,50.13742,41.73233
UGC02673,50.00688,41.25117
2MASXJ03183887+4140080,49.66204,41.66892
2MFGC02715,49.64737,41.667
2MASXJ03182094+4127487,49.58704,41.46353
2MASXJ03181889+4128097,49.57875,41.46931
2MASXJ03203209+4145305,50.13342,41.75861
CGCG540-087,49.59363,41.40969
2MASXJ03204603+4144055,50.19171,41.73492
CGCG540-113,50.33675,41.46003
2MASXJ03190434+4113581,49.76804,41.23283
2MASXJ03212883+4132129,50.37004,41.53694
2MASXJ03182768+4119167,49.61525,41.32131
2MASXJ03203393+4113185,50.14146,41.22178
2MASXJ03213127+4132509,50.38029,41.54747
2MASXJ03181800+4140307,49.575,41.67525
2MASXiJ0318058+413452,49.5245,41.58133
2MASXJ03200718+4149583,50.03,41.83283
CGCG540-115,50.39258,41.50617
2MASXJ03185439+4148111,49.72675,41.80308
2MASXJ03183170+4116259,49.63204,41.27397
NGC1264,49.49821,41.52028
2MASXJ03195520+4110212,49.97996,41.17258
2MASXJ03180178+4135337,49.50738,41.59269
2MASXJ03175762+4129496,49.49,41.49722
NGC1293,50.40191,41.39282
2MASXJ03182297+4116077,49.59575,41.26886
2MASXJ03210882+4115109,50.28688,41.25303
2MASXJ03181640+4144057,49.56846,41.73492
2MASXJ03193592+4109041,49.89963,41.15111
CGCG540-085,49.46289,41.45077
2MASSJ03213780+4121280,50.40754,41.35779
NGC1294,50.4165,41.36056
2MASXJ03191458+4108291,49.81079,41.14144
2MASXJ03190715+4108330,49.77983,41.14258
IC0312,49.53587,41.7541
SDSSJ031808.40+414515.6,49.53502,41.75436
SDSSJ031808.40+414515.7,49.53501,41.75436
2MASXJ03180070+4117567,49.50288,41.29906
2MASXJ03215746+4133080,50.48946,41.55219
2MASSJ03181307+4148087,49.55456,41.80243
2MASXJ03180647+4147567,49.52696,41.79917
2MASXJ03173200+4124425,49.38333,41.41175
2MASXJ03191203+4105211,49.80013,41.08922
2MASXJ03172790+4129165,49.36625,41.48797
IC0313,50.24125,41.89383
2MASXJ03181953+4151218,49.58133,41.85603
2MASXJ03220908+4127029,50.53783,41.45078
2MASXJ03172788+4136465,49.36629,41.61297
2MASXJ03190609+4104571,49.77537,41.08256
NGC1265,49.56527,41.85775
NGC1260,49.36351,41.40522
2MASSJ03215637+4117540,50.48488,41.29842
MCG+07-07-048,49.37198,41.37581
2MASXJ03194584+4158352,49.94108,41.97644
2MASXJ03173289+4117495,49.38704,41.29703
2MASXJ03221922+4126439,50.58017,41.44547
2MASXJ03171766+4125172,49.32367,41.42147
2MASXJ03215149+4147500,50.46454,41.79725
2MASSJ03212427+4108088,50.35129,41.13592
2MASXJ03190350+4158269,49.76463,41.97417
UGC02656,49.68121,41.07252
NGC1259,49.322,41.38549
2MASXJ03171358+4126082,49.30667,41.43556
2MASXJ03222447+4128469,50.60191,41.47986
2MASXJ03220983+4143389,50.54104,41.72744
2MASXJ03171317+4139032,49.30496,41.65094
2MASXJ03195440+4200526,49.97662,42.01464
IC0316NED01,50.33313,41.92894
2MASXJ03184727+4158500,49.697,41.98058
IC0316,50.33292,41.93056
IC0316NED02,50.33292,41.93192
2MASXJ03175803+4154021,49.49175,41.90056
CGCG540-079,49.26512,41.63364
2MASXJ03183928+4159489,49.66375,41.99703
2MASXJ03170202+4137582,49.25842,41.63286
2MASXJ03183683+4101090,49.65354,41.01919
UGC02626,49.24892,41.35653
2MASXJ03222170+4114299,50.59046,41.24164
LCSBS0541P,50.33917,41.0245
2MASXJ03202564+4204137,50.10688,42.07042
UGC02639,49.46012,41.96758
2MASXJ03172721+4155002,49.36342,41.91667
2MASXJ03221984+4108529,50.58279,41.14806
2MASXJ03210436+4057169,50.26829,40.95475
UGC02672,50.02146,40.90617
IC0310,49.17907,41.32497
2MASXJ03165120+4115212,49.21337,41.25589
2MASXJ03220261+4158250,50.51092,41.97356
UGC02621,49.10892,41.53042
CGCG540-074,49.11467,41.62708
2MASXJ03224602+4149587,50.69183,41.83306
2MFGC02775,50.72075,41.22992
2MASXJ03214287+4202509,50.4285,42.04772
2MASXJ03163712+4147215,49.15471,41.78931
2MASXJ03210025+4208327,50.25095,42.14224
SDSSJ032051.44+420956.3,50.21434,42.16566
2MASXJ03222930+4103009,50.62229,41.05031
UGC02642,49.47983,40.92664
2MASXJ03214217+4205549,50.42575,42.09864
2MASXJ03232697+4124235,50.86238,41.40647
2MASXJ03224672+4156285,50.69463,41.94122
LCSBS0531P,49.70583,40.82761
2MASXJ03162705+4110487,49.11275,41.18019
2MASXJ03175285+4053504,49.47021,40.89733
IC0308,49.06596,41.18075
2MASXJ03225058+4101397,50.71083,41.02778
UGC02686,50.25554,40.79775
2MASXJ03155331+4119242,48.97212,41.32333
2MASXJ03163444+4102506,49.14354,41.04742
2MASXJ03174508+4210522,49.4375,42.18108
UGC02664,49.87521,40.74219
UGC02698,50.512,40.86389
2MASXJ03235754+4131183,50.98989,41.52187
2MASXJ03155773+4112572,48.99054,41.21592
2MASSJ03220520+4210089,50.52163,42.16942
2MASXJ03235662+4138173,50.98592,41.63822
2MASXJ03183055+4215321,49.62725,42.25883
UGC02696,50.52137,42.17203
2MASSJ03220508+4210263,50.52117,42.17436
2MASXJ03235425+4141504,50.97604,41.69742
2MASXJ03235094+4116575,50.96229,41.28269
2MASXJ03163390+4201325,49.14133,42.02572
2MASSJ03161106+4106067,49.046,41.10181
2MASXJ03170749+4052522,49.28117,40.88122
UGC02616,48.96683,41.85736
CGCG540-090,49.68583,42.30111
UGC02654,49.67958,42.30058