Object Name,RA,DEC,Type,Velocity,Redshift,Redshift Flag
NGC 0383                      ,16.85399,32.41256,G      ,5098,0.017005,               
 VV 193                        ,16.85167,32.40833, GPair  ,4777,0.015934,               
 NGC 0382                      ,16.84946,32.40386, G      ,5229,0.017442,               
 SDSS J010723.84+322411.8      ,16.84935,32.40329, G      ,5166,0.017233, SPEC          
 Pisces Cloud                  ,16.86186,32.38854, GGroup ,4845,0.016161,               
 2MASX J01071798+3225281       ,16.825,32.42447, G      ,5661,0.018883,               
 NGC 0387                      ,16.88775,32.39111, G      ,4707,0.015701,               
 IV Zw 038                     ,16.86792,32.46194, GGroup ,5096,0.017,               
 3C 031 GROUP                  ,16.8125,32.45417, GClstr ,5120,0.017078,               
 NGC 0386                      ,16.88039,32.36199, G      ,5556,0.018533,               
 RSCG 05                       ,16.84884,32.35661, GGroup ,5096,0.017,               
 SDSS J010714.97+322204.7      ,16.81238,32.36804, IrS    ,146848,0.489833, SPEC          
 2MASX J01070798+3223335       ,16.78307,32.39294, G      ,46147,0.153931, SPEC          
 SDSS J010706.70+322257.6      ,16.77795,32.38268, G      ,110296,0.367908, SPEC          
 NGC 0380                      ,16.8233,32.48292, G      ,4426,0.014764,               
 UGC 00679                     ,16.76491,32.38953, G      ,5096,0.016998,               
 SDSS J010716.14+322014.7      ,16.81727,32.33742, *      ,-233,-0.000778, SPEC          
 2MASX J01071026+3220485       ,16.79283,32.34681, G      ,4245,0.01416,               
 NGC 0375                      ,16.77466,32.34817, G      ,5855,0.01953,               
 NGC 0385                      ,16.86352,32.31953, G      ,4975,0.016595,               
 NGC 0379                      ,16.81537,32.52036, G      ,5578,0.018606,               
 SDSS J010700.04+322915.4      ,16.74979,32.48789, UvS    ,-44,-0.000148, SPEC          
 SDSS J010703.19+321930.2      ,16.76331,32.32508, G      ,110737,0.36938, SPEC          
 NGC 0384                      ,16.8546,32.29245, G      ,4233,0.01412,               
 SRGb 090                      ,16.75917,32.32269, GGroup ,5150,0.017179,               
 SDSS J010746.28+321840.4      ,16.94287,32.31124, *      ,-11,-0.000037, SPEC          
 WHL J010759.6+322216          ,16.9985,32.37122, GClstr ,118298,0.3946, PHOT          
 NGC 0388                      ,16.94644,32.30996, G      ,5444,0.018159,               
 SDSS J010759.25+322116.5      ,16.99691,32.3546, G      ,144644,0.48248, SPEC          
 RM J010802.2+322157.0         ,17.00896,32.36584, GClstr ,120428,0.401705, PHOT          
 SDSS J010710.42+323232.8      ,16.79337,32.54251, IrS    ,146133,0.487446, SPEC          
 NGC 0373                      ,16.74254,32.30847, G      ,5502,0.018353,               
 2MASX J01064452+3225074       ,16.68554,32.41867, G      ,6150,0.020514,               
 SDSS J010804.43+322813.1      ,17.01847,32.47033, G      ,173688,0.579362, SPEC          
 WHL J010657.9+323156          ,16.74109,32.53215, GClstr ,146359,0.4882, SPEC          
 SDSS J010646.23+322920.0      ,16.69264,32.4889, G      ,103293,0.344547, SPEC          
 SDSS J010657.20+323235.8      ,16.73834,32.5433, G      ,146341,0.48814, SPEC          
 2MASX J01081297+3227128       ,17.054,32.45361, G      ,4754,0.015858,               
 LCSB S0169O                   ,16.96667,32.25611, G      ,5454,0.018193,               
 SDSS J010724.07+323545.5      ,16.85032,32.59598, G      ,140726,0.469411, SPEC          
 SDSS J010711.15+323536.1      ,16.79646,32.59336, G      ,138560,0.462185, SPEC          
 SDSS J010637.71+323003.7      ,16.65715,32.50104, *      ,-317,-0.001057, SPEC          
 SDSS J010640.30+321831.4      ,16.66795,32.30875, G      ,173168,0.577625, SPEC          
 SDSS J010643.29+323159.5      ,16.68039,32.53321, G      ,138301,0.461321, SPEC          
 SDSS J010640.41+323205.2      ,16.66838,32.5348, QSO    ,214692,0.716134, SPEC          
 WHL J010640.4+323205          ,16.66838,32.5348, GClstr ,138294,0.4613, SPEC          
 RM J010640.4+323205.3         ,16.66838,32.5348, GClstr ,144280,0.481265, PHOT          
 2MASX J01081590+3229567       ,17.06625,32.49908, G      ,5508,0.018373,               
 2MASX J01065374+3234434       ,16.72404,32.57864, G      ,5558,0.018539,               
 SDSS J010803.11+323343.6      ,17.01406,32.56165, UvS    ,110258,0.367782, SPEC          
 SDSS J010642.21+323316.1      ,16.67591,32.55448, G      ,146895,0.48999, SPEC          
 GALEXMSC J010747.67+321315.7  ,16.94925,32.22061, G      ,4918,0.016405,               
 SDSS J010806.60+323340.1      ,17.02717,32.5612, UvS    ,775409,2.586487, SPEC          
 SDSS J010634.50+323132.4      ,16.64366,32.52582, UvS    ,-177,-0.000592, SPEC          
 2MASX J01065749+3213214       ,16.7396,32.22263, G      ,34361,0.114617, SPEC          
 SDSS J010657.10+323613.0      ,16.73794,32.60364, *      ,25,0.000085, SPEC          
 IV Zw 038 NOTES14             ,17.10833,32.43125, G      ,6195,0.020664,               
 IV Zw 038 NOTES01             ,16.624,32.50778, G      ,46118,0.153832, SPEC          
 SDSS J010826.63+322435.5      ,17.11089,32.41008, UvS    ,661749,2.207356, SPEC          
 SDSS J010823.85+322840.2      ,17.09938,32.47785, G      ,99630,0.332329, SPEC          
 SDSS J010635.79+321652.6      ,16.64914,32.2813, G      ,154982,0.516965, SPEC          
 IV Zw 038 NOTES08             ,16.81546,32.19442, G      ,5966,0.0199,               
 SDSS J010640.84+323429.9      ,16.67018,32.575, QSO    ,959718,3.201274, SPEC          
 SDSS J010622.24+322758.0      ,16.5927,32.46614, QSO    ,1036357,3.456913, SPEC          
 2MASX J01082662+3229109       ,17.111,32.48633, G      ,33395,0.111395, SPEC          
 IV Zw 038 NOTES03             ,16.73708,32.6225, GPair  ,19799,0.066042,               
 SDSS J010800.55+323707.6      ,17.00231,32.6188, G      ,196626,0.655874, SPEC          
 SDSS J010732.31+323909.0      ,16.88466,32.65252, G      ,156075,0.52061, SPEC          
 2MASXi J0108226+323258        ,17.09437,32.54969, G      ,4723,0.015754,               
 SDSS J010829.43+321910.6      ,17.12255,32.31964, UvS    ,162518,0.542102, SPEC          
 SDSS J010632.20+323424.0      ,16.63418,32.57334, *      ,-4,-0.000015, SPEC          
 RM J010718.6+321003.8         ,16.82756,32.16771, GClstr ,111579,0.372186, PHOT          
 IV Zw 038 NOTES07             ,16.798,32.17044, G      ,4696,0.015664,               
 SDSS J010618.06+322002.6      ,16.57526,32.33407, QSO    ,347306,1.158489, SPEC          
 2MASS J01081074+3236146       ,17.04489,32.60416, G      ,118968,0.396833, SPEC          
 SDSS J010836.08+322543.9      ,17.15035,32.42886, G      ,209309,0.69818, SPEC          
 SDSS J010836.29+322434.8      ,17.15122,32.40969, G      ,172559,0.575596, SPEC          
 2MASX J01062076+3231488       ,16.58654,32.53019, G      ,32768,0.109302, SPEC          
 SDSS J010613.21+322237.3      ,16.55526,32.37758, UvS    ,301753,1.006539, SPEC          
 SDSS J010623.97+323302.4      ,16.59991,32.55067, G      ,138446,0.461806, SPEC          
 SDSS J010715.60+320932.7      ,16.81504,32.15911, G      ,114423,0.381673, SPEC          
 [HLX2013] J010619.74+321751.7 ,16.58229,32.2977, QSO    ,627765,2.094,               
 SDSS J010727.82+324023.3      ,16.86596,32.67316, G      ,110542,0.36873, SPEC          
 2MASS J01083751+3220582       ,17.15634,32.34946, *      ,-33,-0.00011, SPEC          
 LCSB S0171P                   ,17.07829,32.22656, G      ,5315,0.017729,               
 SDSS J010637.89+323732.1      ,16.65837,32.62498, UvS    ,540458,1.802773, SPEC          
 400d J0106+3209               ,16.74583,32.15833, GClstr ,33577,0.112,               
 2MASX J01065891+3209285       ,16.7453,32.15736, G      ,33463,0.11162,               
 SDSS J010639.19+321139.1      ,16.6633,32.19421, G      ,147424,0.491753, SPEC          
 SDSS J010840.33+322824.4      ,17.16807,32.47345, G      ,172970,0.576967, SPEC          
 SDSS J010840.74+322809.3      ,17.16948,32.46944, UvS    ,219591,0.732478, SPEC          
 [HB89] 0104+318               ,16.74482,32.155, QSO    ,607679,2.027,               
 [HB89] 0104+318 ABS01         ,16.74482,32.155, AbLS   ,526016,1.7546,               
 SDSS J010740.22+320745.4      ,16.9176,32.12928, G      ,68415,0.228207, SPEC          
 SDSS J010622.89+323605.3      ,16.59541,32.60149, G      ,157325,0.524778, SPEC          
 2MASS J01071777+3207286       ,16.82398,32.12462, G      ,110584,0.36887, SPEC          
 WHL J010717.8+320729          ,16.82398,32.12462, GClstr ,112512,0.3753, SPEC          
 2MASX J01074620+3241342       ,16.94234,32.69301, G      ,5334,0.017792,               
 SDSS J010654.63+324116.7      ,16.72766,32.68797, *      ,-310,-0.001034, SPEC          
 2MASX J01084242+3232110       ,17.17692,32.53642, G      ,89776,0.299459, SPEC          
 SDSS J010601.03+322105.4      ,16.50432,32.35151, G      ,140557,0.468848, SPEC          
 SDSS J010558.88+322505.1      ,16.49534,32.4181, G      ,216354,0.721678, SPEC          
 SDSS J010813.86+323948.8      ,17.05775,32.66357, QSO    ,653564,2.180054, SPEC          
 SDSS J010808.34+320854.4      ,17.03475,32.14846, *      ,-121,-0.000405, SPEC          
 SDSS J010656.97+320705.6      ,16.7374,32.11824, G      ,172813,0.576443, SPEC          
 SDSS J010656.81+320703.6      ,16.73672,32.11767, G      ,172275,0.574648, SPEC          
 2MASX J01065143+3242044       ,16.7143,32.70132, G      ,5884,0.019627,               
 2MASS J01064194+3241075       ,16.67427,32.68548, UvS    ,65771,0.219388, SPEC          
 IC 1618                       ,16.48326,32.41218, G      ,4719,0.015741,               
 SDSS J010817.61+320929.8      ,17.0734,32.1583, G      ,155451,0.518527, SPEC          
 SDSS J010842.93+323403.0      ,17.17888,32.56753, G      ,172339,0.57486, SPEC          
 SDSS J010558.61+321907.1      ,16.49424,32.31866, QSO    ,921376,3.073379, SPEC          
 UGC 00691                     ,16.88583,32.09278, G      ,14710,0.049067,               
 SDSS J010630.37+324017.5      ,16.62656,32.67153, G      ,161555,0.53889, SPEC          
 SDSS J010847.25+323332.1      ,17.1969,32.55893, G      ,161170,0.537604, SPEC          
 SDSS J010849.43+323236.7      ,17.20599,32.54354, QSO    ,432517,1.442721, SPEC          
 SDSS J010847.44+323351.3      ,17.19769,32.56426, G      ,173771,0.579638, SPEC          
 WHL J010847.4+323351          ,17.19769,32.56426, GClstr ,173100,0.5774, SPEC          
 RM J010847.4+323351.3         ,17.19769,32.56426, GClstr ,157033,0.523804, PHOT          
 NGC 0398                      ,17.22362,32.51451, G      ,4978,0.016605,               
 SDSS J010850.86+323236.6      ,17.21194,32.54352, G      ,146214,0.487718, SPEC          
 2MASX J01085516+3219316       ,17.22996,32.32542, G      ,4735,0.015794,               
 SDSS J010735.75+320502.5      ,16.89896,32.08405, *      ,-59,-0.000198, SPEC          
 2MASX J01055048+3223187       ,16.46028,32.3885, G      ,4658,0.015537,               
 WHL J010718.5+320433          ,16.82728,32.07581, GClstr ,162697,0.5427, SPEC          
 SDSS J010718.54+320432.9      ,16.82728,32.07581, G      ,162659,0.542571, SPEC          
 SDSS J010551.87+321950.9      ,16.46612,32.33083, G      ,140335,0.468108, SPEC          
 GALEXASC J010603.49+323532.5  ,16.515,32.59222, G      ,5341,0.017816,               
 SDSS J010551.20+321953.2      ,16.46334,32.33147, G      ,140205,0.467674, SPEC          
 SDSS J010602.85+323535.6      ,16.51189,32.59324, G      ,170900,0.570061, SPEC          
 SDSS J010549.87+322843.4      ,16.45781,32.47872, *      ,-143,-0.000477, SPEC          
 SDSS J010731.75+324513.1      ,16.88275,32.75396, UvS    ,163811,0.546415, SPEC          
 SDSS J010559.63+323446.4      ,16.49846,32.57958, G      ,155459,0.518557, SPEC          
 SDSS J010650.52+320528.0      ,16.71054,32.09112, G      ,201089,0.67076, SPEC          
 2MASS J01090067+3229322       ,17.25271,32.49233, QSO    ,441041,1.471155, SPEC          
 SDSS J010555.40+323326.2      ,16.48086,32.55728, G      ,156942,0.523502, SPEC          
 SDSS J010553.95+321538.8      ,16.47479,32.26078, *      ,-47,-0.000157, SPEC          
 SDSS J010544.78+322001.4      ,16.43659,32.33373, G      ,174757,0.582926, SPEC          
 SDSS J010545.02+322959.1      ,16.43762,32.49977, QSO    ,304677,1.016292, SPEC          
 SDSS J010844.23+323845.2      ,17.1843,32.64589, G      ,143877,0.479923, SPEC          
 SDSS J010900.85+323255.5      ,17.25354,32.54876, QSO    ,389607,1.299589, SPEC          
 SDSS J010826.39+320710.0      ,17.10998,32.11947, G      ,85991,0.286834, SPEC          
 WHL J010842.6+323922          ,17.17739,32.65624, GClstr ,145429,0.4851, SPEC          
 SDSS J010842.57+323922.4      ,17.17739,32.65624, G      ,145864,0.486551, SPEC          
 SDSS J010725.55+320238.4      ,16.85649,32.04401, G      ,162219,0.541103, SPEC          
 SDSS J010554.73+323614.7      ,16.47806,32.60409, QSO    ,793286,2.646117, SPEC          
 LCSB S0170P                   ,17.072,32.08997, G      ,4582,0.015284,               
 2MASX J01085889+3214257       ,17.24546,32.2405, G      ,4514,0.015057,               
 SDSS J010843.65+323957.0      ,17.18188,32.66584, G      ,145643,0.485813, SPEC          
 WHL J010811.8+320414          ,17.04923,32.07065, GClstr ,65325,0.2179, PHOT          
 SDSS J010634.53+324458.6      ,16.64391,32.74963, G      ,141048,0.470486, SPEC          
 2MASX J01084354+3208490       ,17.18163,32.14694, G      ,65829,0.219583, SPEC          
 SDSS J010845.09+324024.6      ,17.18789,32.6735, G      ,161218,0.537765, SPEC          
 SDSS J010831.20+320626.3      ,17.13001,32.10731, G      ,155390,0.518325, SPEC          
 SDSS J010853.50+323818.4      ,17.22293,32.63844, QSO    ,597361,1.99258, SPEC          
 2MASS J01055091+3212577       ,16.46212,32.21607, G      ,48838,0.162905, SPEC          
 SDSS J010841.77+324122.8      ,17.17365,32.69008, UvS    ,173271,0.577971, SPEC          
 SDSS J010850.15+323934.5      ,17.20897,32.6596, G      ,146336,0.488124, SPEC          
 NGC 0374                      ,16.77408,32.79511, G      ,5031,0.016782,               
 SDSS J010733.04+324801.7      ,16.8877,32.80049, G      ,115043,0.383741, SPEC          
 CGCG 501-077                  ,16.39249,32.42975, G      ,5039,0.016808,               
 2MASS J01091525+3221516       ,17.31379,32.36431, G      ,96788,0.32285, SPEC          
 SDSS J010907.47+321509.6      ,17.28115,32.25267, G      ,174479,0.581998, SPEC          
 SDSS J010842.57+324157.1      ,17.17738,32.69921, G      ,173314,0.578113, SPEC          
 SDSS J010756.84+324731.1      ,16.98686,32.792, G      ,136592,0.455623, SPEC          
 SDSS J010728.51+320056.9      ,16.86881,32.01581, G      ,110653,0.369098, SPEC          
 AT 2017hqa                    ,17.24667,32.63431, G      ,5167,0.017235,               
 SDSS J010753.53+324755.2      ,16.97193,32.79872, UvS    ,140286,0.467944, SPEC          
 SDSS J010532.05+322215.3      ,16.38256,32.37065, UvS    ,135507,0.452004, SPEC          
 SDSS J010907.63+321417.2      ,17.28181,32.23812, *      ,-143,-0.000477, SPEC          
 SDSS J010856.90+321030.3      ,17.23708,32.1751, *      ,-51,-0.000171, SPEC          
 SDSS J010540.14+323434.5      ,16.41725,32.57626, G      ,142827,0.47642, SPEC          
 SDSS J010630.59+320328.4      ,16.62748,32.05791, QSO    ,172275,0.574646, SPEC          
 SDSS J010827.03+320423.3      ,17.11263,32.07315, QSO    ,715293,2.385959, SPEC          
 SDSS J010543.48+321310.5      ,16.43105,32.21934, UvS    ,200279,0.668059, SPEC          
 SDSS J010609.56+324319.4      ,16.53984,32.72206, G      ,202550,0.675634, SPEC          
 2MASX J01053291+3217505       ,16.38713,32.29728, G      ,31279,0.104334, SPEC          
 2MASS J01052821+3226544       ,16.36756,32.44844, G      ,49745,0.165931, SPEC          
 SDSS J010751.44+324852.6      ,16.9642,32.81498, UvS    ,-177,-0.000591, SPEC          
 SDSS J010617.13+320429.4      ,16.57139,32.07485, G      ,176899,0.59007, SPEC          
 SDSS J010539.06+323541.9      ,16.41275,32.59499, G      ,205968,0.687035, SPEC          
 SDSS J010535.88+323417.5      ,16.3995,32.57155, G      ,142175,0.474244, SPEC          
 2MASS J01052764+3221395       ,16.36499,32.3607, UvS    ,134918,0.450038, SPEC          
 NSA 128663                    ,17.18292,32.10167, G      ,5718,0.019073,               
 2MASS J01091189+3235356       ,17.30003,32.59299, UvS    ,52185,0.17407, SPEC          
 SDSS J010604.33+320622.6      ,16.51804,32.10628, G      ,107469,0.358477, SPEC          
 SDSS J010833.32+324520.1      ,17.13885,32.75559, G      ,145169,0.48423, SPEC          
 SDSS J010653.84+324910.6      ,16.72433,32.81985, UvS    ,207264,0.691359, SPEC          
 SDSS J010909.96+323700.3      ,17.29152,32.61677, G      ,145174,0.484247, SPEC          
 2MASX J01091313+3235528       ,17.30483,32.59803, G      ,52993,0.176766, SPEC          
 SDSS J010916.75+321514.2      ,17.31982,32.25397, QSO    ,427519,1.426051, SPEC          
 SDSS J010551.26+324050.1      ,16.46265,32.68132, UvS    ,-213,-0.000709, SPEC          
 SDSS J010542.41+323846.1      ,16.42672,32.64616, G      ,202912,0.676841, SPEC          
 2MASS J01091975+3234002       ,17.33228,32.56669, UvS    ,-148,-0.000493, SPEC          
 SDSS J010824.70+320157.6      ,17.10293,32.03268, QSO    ,587025,1.958103, SPEC          
 SDSS J010924.53+321814.3      ,17.35224,32.30398, *      ,-100,-0.000333, SPEC          
 SDSS J010902.93+320850.6      ,17.26221,32.14741, QSO    ,391193,1.304879, SPEC          
 SDSS J010536.44+321212.3      ,16.40184,32.20344, *      ,-439,-0.001464, SPEC          
 SDSS J010531.57+323522.2      ,16.38155,32.58951, G      ,204162,0.68101, SPEC          
 SDSS J010915.92+321302.4      ,17.31657,32.21729, UvS    ,-417,-0.001391, SPEC          
 SDSS J010520.70+322415.3      ,16.33627,32.40427, *      ,-387,-0.001291, SPEC          
 SDSS J010741.41+315843.2      ,16.92258,31.97869, *      ,-51,-0.000169, SPEC          
 SDSS J010926.65+323031.4      ,17.36107,32.50874, G      ,190078,0.634032, SPEC          
 CGCG 501-099                  ,17.21783,32.09997, G      ,10423,0.034767,               
 SDSS J010545.04+320901.3      ,16.43768,32.15037, QSO    ,150545,0.502163, SPEC          
 2MASX J01065633+3158574       ,16.73475,31.98258, G      ,5083,0.016955,               
 IV Zw 038 NOTES15             ,17.32233,32.61133, G      ,19879,0.066308, SPEC          
 2MASS J01092015+3214098       ,17.33399,32.23609, *      ,-59,-0.000198, SPEC          
 2MASS J01062978+3248361       ,16.62362,32.81014, G      ,110432,0.368361, SPEC          
 2MASX J01074708+3158337       ,16.94621,31.97603, G      ,66551,0.22199, SPEC          
 SDSS J010520.72+322926.4      ,16.33637,32.49069, G      ,146222,0.487745, SPEC          
 SDSS J010757.54+325031.0      ,16.98975,32.84197, G      ,102717,0.342626, SPEC          
 2MASX J01052218+3218305       ,16.34238,32.30844, G      ,49906,0.166468, SPEC          
 SDSS J010701.03+325059.3      ,16.75417,32.85, RadioS ,929613,3.100854, SPEC          
 SDSS J010651.40+315847.1      ,16.71418,31.97975, G      ,135506,0.451999, SPEC          
 SDSS J010616.27+324746.8      ,16.56782,32.79636, G      ,174310,0.581435, SPEC          
 SDSS J010934.68+322428.4      ,17.39454,32.40789, G      ,206606,0.689162, SPEC          
 2MASX J01053624+3209306       ,16.40096,32.15856, G      ,48947,0.163268, SPEC          
 2MASX J01065539+3157514       ,16.73079,31.96433, G      ,33349,0.111241, SPEC          
 SDSS J010755.82+325137.4      ,16.9826,32.86041, G      ,156079,0.520623, SPEC          
 SDSS J010755.31+315750.9      ,16.98046,31.96415, G      ,136500,0.455316, SPEC          
 SDSS J010931.38+321714.1      ,17.38076,32.28725, G      ,123354,0.411464, SPEC          
 SDSS J010828.27+320025.9      ,17.11781,32.00721, G      ,69011,0.230195, SPEC          
 WBL 028                       ,17.29136,32.13294, GGroup ,5120,0.01708,               
 2MASS J01085004+3203315       ,17.2086,32.05876, G      ,99645,0.332379, SPEC          
 UGC 00714                     ,17.30846,32.15133, G      ,4634,0.015457,               
 SDSS J010539.12+320754.9      ,16.41302,32.13192, QSO    ,504628,1.683257, SPEC          
 SDSS J010511.47+322315.9      ,16.29779,32.38776, QSO    ,1109602,3.701235, SPEC          
 SDSS J010830.74+320007.8      ,17.12809,32.00218, G      ,193601,0.645783, SPEC          
 SDSS J010938.68+322223.8      ,17.41119,32.37328, QSO    ,602954,2.011238, SPEC          
 SDSS J010756.55+325217.8      ,16.98566,32.87162, G      ,156028,0.520452, SPEC          
 SDSS J010628.15+325030.7      ,16.61731,32.84187, G      ,98754,0.329409, SPEC          
 2MASX J01051073+3227165       ,16.29471,32.45467, G      ,6096,0.020334,               
 SDSS J010939.65+322652.1      ,17.41523,32.44781, G      ,206616,0.689197, SPEC          
 2MASX J01055245+3245397       ,16.46854,32.76111, G      ,4998,0.016672,               
 WBL 029                       ,17.29252,32.71627, GGroup ,5141,0.01715,               
 SDSS J010516.19+323435.9      ,16.31747,32.57666, G      ,157056,0.523882, SPEC          
 2MASX J01084135+3200420       ,17.17233,32.01169, G      ,66631,0.222258, SPEC          
 WHL J010841.4+320042          ,17.17234,32.01161, GClstr ,67094,0.2238, SPEC          
 ARK 032                       ,17.427,32.45139, G      ,5026,0.016765,               
 SDSS J010912.59+320635.1      ,17.30246,32.10976, G      ,160300,0.534704, SPEC          
 SDSS J010642.29+315657.8      ,16.67622,31.94941, G      ,115418,0.384992, SPEC          
 2MASS J01075689+3156155       ,16.9871,31.93763, G      ,86449,0.288364, SPEC          
 2MASX J01060204+3248197       ,16.50862,32.80542, G      ,33346,0.111229, SPEC          
 SDSS J010507.74+322952.4      ,16.28225,32.49791, QSO    ,1885480,6.289284, SPEC          
 AGC 113901                    ,16.34375,32.17944, RadioS ,5364,0.017892,               
 SDSS J010944.46+322435.4      ,17.43525,32.40985, G      ,178019,0.593809, SPEC          
 2MASS J01084377+3200251       ,17.18244,32.00691, QSO    ,346405,1.155484, SPEC          
 SDSS J010921.54+320827.8      ,17.33978,32.14107, G      ,174296,0.58139, SPEC          
 SDSS J010505.34+322922.7      ,16.27227,32.48965, QSO    ,940262,3.136376, SPEC          
 SDSS J010816.13+325233.7      ,17.06722,32.87603, G      ,156068,0.520587, SPEC          
 AGC 114001                    ,16.46542,32.03861, RadioS ,-348,-0.001161,               
 SDSS J010603.73+320018.0      ,16.51555,32.005, G      ,151765,0.506235, SPEC          
 SDSS J010547.34+324634.6      ,16.44729,32.77628, G      ,155326,0.518113, SPEC          
 SDSS J010856.42+320150.0      ,17.23509,32.03057, QSO    ,294319,0.981741, SPEC          
 2MASS J01060073+3200375       ,16.50311,32.0104, G      ,65806,0.219505, SPEC          
 2MASS J01093159+3238387       ,17.38165,32.64411, G      ,89804,0.299554, SPEC          
 SDSS J010918.02+320624.1      ,17.3251,32.1067, G      ,160274,0.534616, SPEC          
 WHL J010942.8+321639          ,17.42838,32.27748, GClstr ,34386,0.1147, SPEC          
 2MASX J01094280+3216390       ,17.42842,32.27744, G      ,34280,0.114346, SPEC          
 SDSS J010756.67+325414.3      ,16.98615,32.90398, G      ,209955,0.700336, SPEC          
 SDSS J010732.47+315432.1      ,16.88532,31.90893, G      ,137740,0.459451, SPEC          
 WHL J010732.5+315432          ,16.88532,31.90893, GClstr ,137725,0.4594, SPEC          
 2MASX J01073995+3254512       ,16.91646,32.91422, G      ,36496,0.121736, SPEC          
 SDSS J010505.71+323215.5      ,16.27383,32.53765, G      ,185888,0.620056, SPEC          
 SDSS J010652.77+315510.9      ,16.71989,31.91972, *      ,-152,-0.000507, SPEC          
 SDSS J010637.99+325327.9      ,16.6583,32.89111, G      ,100226,0.334317, SPEC          
 SDSS J010946.95+321950.6      ,17.44564,32.33075, *      ,-105,-0.00035, SPEC          
 2MASX J01094004+3213539       ,17.41692,32.23169, G      ,34461,0.11495, SPEC          
 SDSS J010601.01+315949.5      ,16.50424,31.99709, QSO    ,65887,0.219776, SPEC          
 CGCG 501-105                  ,17.33513,32.72278, G      ,10436,0.034811,               
 CGCG 501-107                  ,17.38867,32.17325, G      ,5521,0.018416,               
 NGC 0403                      ,17.309,32.75214, G      ,5090,0.016978,               
 SDSS J010839.27+325117.0      ,17.16365,32.85474, G      ,159801,0.533039, SPEC          
 SDSS J010733.61+325538.4      ,16.88968,32.9279, UvS    ,-16,-0.000054, SPEC          
 SDSS J010459.83+322004.8      ,16.24931,32.33468, *      ,-1043,-0.003479, SPEC          
 SDSS J010920.14+320517.8      ,17.33396,32.08828, *      ,-282,-0.000942, SPEC          
 SDSS J010835.20+315719.6      ,17.14671,31.95547, G      ,175492,0.585378, SPEC          
 SDSS J010510.35+321152.3      ,16.29317,32.19788, G      ,141205,0.47101, SPEC          
 2MASS J01094846+3217122       ,17.45177,32.2866, G      ,99286,0.331181, SPEC          
 SDSS J010534.52+324537.4      ,16.39375,32.7606, UvS    ,223764,0.746396, SPEC          
 SDSS J010724.20+325603.3      ,16.85084,32.93427, G      ,137191,0.457621, SPEC          
 SDSS J010952.40+322059.7      ,17.46836,32.34994, G      ,190564,0.635652, SPEC          
 PPS2 092                      ,17.39273,32.67446, GGroup ,4961,0.016548,               
 SDSS J010939.90+321124.3      ,17.41626,32.19009, G      ,175203,0.584414, SPEC          
 SDSS J010924.46+320557.7      ,17.35196,32.09938, G      ,159899,0.533366, SPEC          
 SDSS J010527.41+320523.4      ,16.36424,32.08985, G      ,176524,0.588822, SPEC          
